DeviceID,Time,Power(kW)
STP 17000TL-10 561,27.01.2020 16:00,2.76
STP 17000TL-10 431,27.01.2020 18:00,0.05
STP 17000TL-10 435,27.01.2020 18:00,0.06
STP 17000TL-10 561,27.01.2020 18:00,0.06
STP 17000TL-10 431,26.01.2020 08:00,0.33
STP 17000TL-10 435,26.01.2020 08:00,0.46
STP 17000TL-10 561,26.01.2020 08:00,0.26
STP 17000TL-10 431,26.01.2020 07:00,0.03
STP 17000TL-10 435,26.01.2020 07:00,0.02
STP 17000TL-10 561,26.01.2020 07:00,0.01
STP 17000TL-10 431,26.01.2020 09:00,1.59
STP 17000TL-10 435,26.01.2020 09:00,1.60
STP 17000TL-10 561,26.01.2020 09:00,0.74
STP 17000TL-10 431,26.01.2020 13:00,11.65
STP 17000TL-10 435,26.01.2020 13:00,9.77
STP 17000TL-10 561,26.01.2020 13:00,9.31
STP 17000TL-10 431,26.01.2020 10:00,4.86
STP 17000TL-10 435,26.01.2020 10:00,4.43
STP 17000TL-10 561,26.01.2020 10:00,3.07
STP 17000TL-10 431,26.01.2020 12:00,10.95
STP 17000TL-10 435,26.01.2020 12:00,8.76
STP 17000TL-10 561,26.01.2020 12:00,8.03
STP 17000TL-10 431,26.01.2020 11:00,7.79
STP 17000TL-10 435,26.01.2020 11:00,7.48
STP 17000TL-10 561,26.01.2020 11:00,5.93
STP 17000TL-10 431,26.01.2020 17:00,0.48
STP 17000TL-10 435,26.01.2020 17:00,0.51
STP 17000TL-10 561,26.01.2020 17:00,0.55
STP 17000TL-10 431,26.01.2020 14:00,10.99
STP 17000TL-10 435,26.01.2020 14:00,10.56
STP 17000TL-10 561,26.01.2020 14:00,9.52
STP 17000TL-10 431,26.01.2020 15:00,9.40
STP 17000TL-10 435,26.01.2020 15:00,9.51
STP 17000TL-10 561,26.01.2020 15:00,8.79
STP 17000TL-10 431,26.01.2020 16:00,2.47
STP 17000TL-10 435,26.01.2020 16:00,3.03
STP 17000TL-10 561,26.01.2020 16:00,2.78
STP 17000TL-10 431,26.01.2020 18:00,0.06
STP 17000TL-10 435,26.01.2020 18:00,0.07
STP 17000TL-10 561,26.01.2020 18:00,0.07
STP 17000TL-10 431,25.01.2020 17:00,0.71
STP 17000TL-10 435,25.01.2020 17:00,0.51
STP 17000TL-10 561,25.01.2020 17:00,0.89
STP 17000TL-10 431,25.01.2020 14:00,10.29
STP 17000TL-10 435,25.01.2020 14:00,10.05
STP 17000TL-10 561,25.01.2020 14:00,9.17
STP 17000TL-10 431,25.01.2020 15:00,9.75
STP 17000TL-10 435,25.01.2020 15:00,9.81
STP 17000TL-10 561,25.01.2020 15:00,9.05
STP 17000TL-10 431,25.01.2020 16:00,2.90
STP 17000TL-10 435,25.01.2020 16:00,3.10
STP 17000TL-10 561,25.01.2020 16:00,3.24
STP 17000TL-10 431,25.01.2020 18:00,0.05
STP 17000TL-10 435,25.01.2020 18:00,0.07
STP 17000TL-10 561,25.01.2020 18:00,0.06
STP 17000TL-10 431,24.01.2020 08:00,0.17
STP 17000TL-10 435,24.01.2020 08:00,0.17
STP 17000TL-10 561,24.01.2020 08:00,0.14
STP 17000TL-10 435,24.01.2020 07:00,0.00
STP 17000TL-10 561,24.01.2020 07:00,0.00
STP 17000TL-10 431,24.01.2020 09:00,0.20
STP 17000TL-10 435,24.01.2020 09:00,0.20
STP 17000TL-10 561,24.01.2020 09:00,0.17
STP 17000TL-10 431,23.01.2020 08:00,0.32
STP 17000TL-10 435,23.01.2020 08:00,0.38
STP 17000TL-10 561,23.01.2020 08:00,0.23
STP 17000TL-10 431,23.01.2020 07:00,0.00
STP 17000TL-10 435,23.01.2020 07:00,0.00
STP 17000TL-10 561,23.01.2020 07:00,0.00
STP 17000TL-10 431,23.01.2020 09:00,1.66
STP 17000TL-10 435,23.01.2020 09:00,1.56
STP 17000TL-10 561,23.01.2020 09:00,0.82
STP 17000TL-10 431,23.01.2020 13:00,3.30
STP 17000TL-10 435,23.01.2020 13:00,3.32
STP 17000TL-10 561,23.01.2020 13:00,3.00
STP 17000TL-10 431,23.01.2020 10:00,4.97
STP 17000TL-10 435,23.01.2020 10:00,4.56
STP 17000TL-10 561,23.01.2020 10:00,3.23
STP 17000TL-10 431,23.01.2020 12:00,6.96
STP 17000TL-10 435,23.01.2020 12:00,6.14
STP 17000TL-10 561,23.01.2020 12:00,5.40
STP 17000TL-10 431,23.01.2020 11:00,7.42
STP 17000TL-10 435,23.01.2020 11:00,3.85
STP 17000TL-10 561,23.01.2020 11:00,5.86
STP 17000TL-10 431,23.01.2020 17:00,0.49
STP 17000TL-10 435,23.01.2020 17:00,0.54
STP 17000TL-10 561,23.01.2020 17:00,0.52
STP 17000TL-10 431,23.01.2020 14:00,1.50
STP 17000TL-10 435,23.01.2020 14:00,1.56
STP 17000TL-10 561,23.01.2020 14:00,1.43
STP 17000TL-10 431,23.01.2020 15:00,0.93
STP 17000TL-10 435,23.01.2020 15:00,0.98
STP 17000TL-10 561,23.01.2020 15:00,0.91
STP 17000TL-10 431,23.01.2020 16:00,0.86
STP 17000TL-10 435,23.01.2020 16:00,0.92
STP 17000TL-10 561,23.01.2020 16:00,0.88
STP 17000TL-10 431,23.01.2020 18:00,0.04
STP 17000TL-10 435,23.01.2020 18:00,0.05
